"BOROCODE","City, State, Zip ","ORIGINAL MARKET VALUE","Borough","Postcode","Latitude","Longitude","NTA"
"1","BELLEVUE             WA 98006-5115","250354",,,,,
"1","NEW YORK             NY 10028-2082","368595","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2082","322280","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2000","449002","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2000","404609","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2082","346912","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2082","685038","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2082","323733","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2082","450634","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2082","406059","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2082","348440","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","NEW YORK             NY 10028-2082","570623","MANHATTAN","10028","40.777843","-73.955722","Upper East Side-Carnegie Hill                                              "
"1","PINE PLAINS          NY 12567-5226","325295",,,,,
